premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,pred,prediction,,Model,Accuracy
The Johnsons leased their parents' land to the Petersons for five years.,The Johnsons leased their parents the land for five years.,non-entailment,dative,,lease,GIVE,,"The answer is 'non-entailment'. The hypothesis, ""The Johnsons leased their parents the land for five years,"" does not align with the premise, ""The Johnsons leased their parents' land to the Petersons for five years."" The hypothesis suggests that the Johnsons leased the land directly to their parents, while the premise states that they leased it to the Petersons. Therefore, the hypothesis cannot be inferred from the given premise.",non-entailment,,,
Amelia lent her sister's car to William for a weekend.,Amelia lent William the car for a weekend.,entailment,dative,,lend,GIVE,,Entailment.,entailment,,,
Amelia lent her sister's car to William for a weekend.,Amelia lent her sister the car for a weekend.,non-entailment,dative,,lend,GIVE,,Non-entailment,non-entailment,,,
Olivia loaned two hundred dollars to Lucas.,Olivia loaned Lucas two hundred dollars.,entailment,dative,,loan,GIVE,,Non-entailment,non-entailment,,,
Olivia loaned two hundred dollars to Lucas.,Lucas loaned Olivia two hundred dollars.,non-entailment,dative,,loan,GIVE,,Non-entailment,non-entailment,,,
Henry passed Jane's note to Nick during the class.,Henry passed Nick the note during the class.,entailment,dative,,pass,GIVE,,Entailment.,entailment,,,
Henry passed Jane's note to Nick during the class.,Henry passed Jane the note during the class.,non-entailment,dative,,pass,GIVE,,"Entailment. The hypothesis ""Henry passed Jane the note during the class."" can be inferred from the given premise ""Henry passed Jane's note to Nick during the class.""",entailment,,,
Robert paid five thousand pounds to Linda for her ex-husband's car.,Robert paid Linda five thousand pounds.,entailment,dative,,pay,GIVE,,non-entailment,non-entailment,,,
Robert paid five thousand pounds to Linda for her ex-husband's car.,Robert paid Linda's ex-husband five thousand pounds.,non-entailment,dative,,pay,GIVE,,Non-entailment,non-entailment,,,
His parents refunded three hundred euros to Julia for her son's broken window.,His parents refunded Julia three hundred euros for the broken window.,entailment,dative,,refund,GIVE,,Non-entailment,non-entailment,,,
His parents refunded three hundred euros to Julia for her son's broken window.,His parents refunded his son three hundred euros for the broken window.,non-entailment,dative,,refund,GIVE,,non-entailment,non-entailment,,,
The Browns rendered the greatest service to the neighbours.,The Browns rendered the neighbours the greatest service.,entailment,dative,,render,GIVE,,Non-entailment.,non-entailment,,,
The Browns rendered the greatest service to the neighbours.,The neighbours rendered the Browns the greatest service.,non-entailment,dative,,render,GIVE,,non-entailment,non-entailment,,,
Elizabeth rented her aunt's apartment to Richard for 1000 euros per month.,Elizabeth rented Richard the apartment for 1000 euros per month.,entailment,dative,,rent,GIVE,,Entailment. The hypothesis can be inferred from the given premise.,entailment,,,
Elizabeth rented her aunt's apartment to Richard for 1000 euros per month.,Elizabeth rented her aunt the apartment for 1000 euros per month.,non-entailment,dative,,rent,GIVE,,non-entailment,non-entailment,,,
William repaid the expenses to Joseph.,William repaid Joseph the expenses.,entailment,dative,,repay,GIVE,,entailment,entailment,,,
William repaid the expenses to Joseph.,Joseph repaid William the expenses.,non-entailment,dative,,repay,GIVE,,Non-entailment,non-entailment,,,
Sarah sold her parents' house to Susan after they retired.,Sarah sold Susan the house.,entailment,dative,,sell,GIVE,,entailment,entailment,,,
Sarah sold her parents' house to Susan after they retired.,Sarah sold her parents the house.,non-entailment,dative,,sell,GIVE,,Non-entailment,non-entailment,,,
James served his mother's baked potatoes to Mary.,James served Mary baked potatoes.,entailment,dative,,serve,GIVE,,non-entailment,non-entailment,,,
James served his mother's baked potatoes to Mary.,James served his mother baked potatoes.,non-entailment,dative,,serve,GIVE,,entailment,entailment,,,
The Belgians traded wool to the Swedes.,The Belgians traded the Swedes wool.,entailment,dative,,trade,GIVE,,Non-entailment,non-entailment,,,
The Belgians traded wool to the Swedes.,The Swedes traded the Belgians wool.,non-entailment,dative,,trade,GIVE,,Non-entailment.,non-entailment,,,
The committee allocated the funds to the company.,The committee allocated  the company the funds.,entailment,dative,,allocate,FUTURE HAVING,,Entailment.,entailment,,,
The committee allocated the funds to the company.,The company allocated the committee the funds.,non-entailment,dative,,allocate,FUTURE HAVING,,Non-entailment.,non-entailment,,,
The team allotted duties to the partners of the company during the last meeting.,The team allotted the partners of the company duties during the last meeting.,entailment,dative,,allot,FUTURE HAVING,,Entailment.,entailment,,,
The team allotted duties to the partners of the company during the last meeting.,The partners of the company allotted the team duties during the last meeting.,non-entailment,dative,,allot,FUTURE HAVING,,entailment,entailment,,,
Karen assigned Betty's old room to Lisa for the Christmas holidays.,Karen assigned Lisa Betty's old room for the Christmas holidays.,entailment,dative,,assign,FUTURE HAVING,,Non-entailment,non-entailment,,,
Karen assigned Betty's old room to Lisa for the Christmas holidays.,Karen assigned Betty a room for the Christmas holidays.,non-entailment,dative,,assign,FUTURE HAVING,,Entailment,entailment,,,
Mr Wilson awarded the prize to Mr Anderson during the ceremony.,Mr Wilson awarded Mr Anderson the prize during the ceremony.,entailment,dative,,award,FUTURE HAVING,,Entailment.,entailment,,,
Mr Wilson awarded the prize to Mr Anderson during the ceremony.,Mr Anderson awarded Mr Wilson the prize during the ceremony.,non-entailment,dative,,award,FUTURE HAVING,,Non-entailment,non-entailment,,,
Mr Thomson bequeathed his entire estate to Mr Morrison.,Mr Thomson bequeathed Mr Morrison his entire estate.,entailment,dative,,bequeath,FUTURE HAVING,,entailment,entailment,,,
Mr Thomson bequeathed his entire estate to Mr Morrison.,Mr Morrison bequeathed Mr Thomson his entire estate.,non-entailment,dative,,bequeath,FUTURE HAVING,,non-entailment,non-entailment,,,
France ceded the territory to Germany.,France ceded Germany the territory.,entailment,dative,,cede,FUTURE HAVING,,Non-entailment,non-entailment,,,
France ceded the territory to Germany.,Germany ceded France the territory.,non-entailment,dative,,cede,FUTURE HAVING,,Non-entailment.,non-entailment,,,
Mr Clark granted a licence to Mr Moore a week ago.,Mr Clark granted Mr Moore a licence a week ago.,entailment,dative,,grant,FUTURE HAVING,,entailment,entailment,,,
Mr Clark granted a licence to Mr Moore a week ago.,Mr Moore granted Mr Clark a licence a week ago.,non-entailment,dative,,grant,FUTURE HAVING,,non-entailment,non-entailment,,,
Amanda guaranteed a prompt delivery of Luke's order to Carol's house.,Amanda guaranteed Carol a prompt delivery of Luke's order.,entailment,dative,,guarantee,FUTURE HAVING,,Non-entailment,non-entailment,,,
Amanda guaranteed a prompt delivery of Luke's order to Carol's house.,Amanda guaranteed Carol a prompt delivery of her order.,non-entailment,dative,,guarantee,FUTURE HAVING,,entailment,entailment,,,
Larry left the house toThomas in his will.,Larry left Thomas the house in his will.,entailment,dative,,leave,FUTURE HAVING,,Entailment.,entailment,,,
Larry left the house toThomas in his will.,Thomas left Larry the house in his will.,non-entailment,dative,,leave,FUTURE HAVING,,Non-entailment,non-entailment,,,
"Daniel offered a job to Matthew on several conditions, and he accepted.","Daniel offered Matthew a job on several conditions, and he accepted.",entailment,dative,,offer,FUTURE HAVING,,Entailment,entailment,,,
"Daniel offered a job to Matthew on several conditions, and he accepted.","Matthew offered Daniel a job on several conditions, and he accepted.",non-entailment,dative,,offer,FUTURE HAVING,,non-entailment,non-entailment,,,
The committee owed  an apology to the mayor's office for its accusatory groundless allegations.,The committee owed the mayor's office an apology for its accusatory groundless allegations.,entailment,dative,,owe,FUTURE HAVING,,Entailment,entailment,,,
The committee owed  an apology to the mayor's office for its accusatory groundless allegations.,The mayor's office owed the committee an apology for its accusatory groundless allegations.,non-entailment,dative,,owe,FUTURE HAVING,,Non-entailment,non-entailment,,,
Sandra promised Brian's concert ticket to Paul.,Sandra promised Paul Brian's concert ticket.,entailment,dative,,promise,FUTURE HAVING,,"The hypothesis ""Sandra promised Paul Brian's concert ticket."" can be considered an entailment of the given premise ""Sandra promised Brian's concert ticket to Paul."" Both sentences convey the same meaning and describe the same event, indicating that the second sentence can be inferred from the first. Therefore, the answer is 'entailment'.",entailment,,,
Sandra promised Brian's concert ticket to Paul.,Sandra promised Brian the concert ticket.,non-entailment,dative,,promise,FUTURE HAVING,,Non-entailment,non-entailment,,,
Ms Marlow willed a small beach house to Mr Parrish.,Ms Marlow willed Mr Parrish a small beach house.,entailment,dative,,will,FUTURE HAVING,,entailment,entailment,,,
Ms Marlow willed a small beach house to Mr Parrish.,Mr Parrish willed Ms Marlow a small beach house.,non-entailment,dative,,will,FUTURE HAVING,,non-entailment,non-entailment,,,
Mr Preston yielded control of his brother's company to Mr Rogers.,Mr Preston yielded Mr Rogers control of his brother's company.,entailment,dative,,yield,FUTURE HAVING,,entailment,entailment,,,
Mr Preston yielded control of his brother's company to Mr Rogers.,Mr Preston yielded his brother control of the company.,non-entailment,dative,,yield,FUTURE HAVING,,non-entailment,non-entailment,,,
Nora brought Mary's book to Pamela before she left for her trip.,Nora brought Pamela Mary's book before she left for her trip.,entailment,dative,,bring,BRING AND TAKE,,Non-entailment,non-entailment,,,
Nora brought Mary's book to Pamela before she left for her trip.,Nora brought Mary the book before she left for her trip.,non-entailment,dative,,bring,BRING AND TAKE,,Entailment,entailment,,,
The secretary took a pile of the clients' documents to the CEO after a board meeting.,The secretary took the CEO a pile of the clients' documents after a board meeting.,entailment,dative,,take,BRING AND TAKE,,Entailment,entailment,,,
The secretary took a pile of the clients' documents to the CEO after a board meeting.,The secretary took the clients a pile of documents after a board meeting.,non-entailment,dative,,take,BRING AND TAKE,,Non-entailment,non-entailment,,,
Mark forwarded Rebecca's letters to Alice after she moved to another country.,Mark forwarded Alice Rebecca's letters after she moved to another country.,entailment,dative,,forward,SEND,,entailment,entailment,,,
Mark forwarded Rebecca's letters to Alice after she moved to another country.,Mark forwarded Rebecca her letters after she moved to another country.,non-entailment,dative,,forward,SEND,,non-entailment,non-entailment,,,
Miss Webster handed Lucy's papers to Miss Hayden after months of waiting.,Miss Webster handed Miss Hayden Lucy's papers after months of waiting.,entailment,dative,,hand,SEND,,non-entailment,non-entailment,,,
Miss Webster handed Lucy's papers to Miss Hayden after months of waiting.,Miss Webster handed Lucy her papers after months of waiting.,non-entailment,dative,,hand,SEND,,entailment,entailment,,,
The board members mailed a registration form to the residents.,The board members mailed the residents a registration form.,entailment,dative,,mail,SEND,,Entailment.,entailment,,,
The board members mailed a registration form to the residents.,The residents mailed a registration form to the board members.,non-entailment,dative,,mail,SEND,,Non-entailment,non-entailment,,,
The doctor sent the patient's tests to the lab.,The doctor sent the lab the patient's tests.,entailment,dative,,send,SEND,,entailment,entailment,,,
The doctor sent the patient's tests to the lab.,The doctor sent the patient his tests,non-entailment,dative,,send,SEND,,Non-entailment,non-entailment,,,
Justin accidentally shipped Martin's package to Liam.,Justin shipped Liam Martin's package.,entailment,dative,,ship,SEND,,non-entailment,non-entailment,,,
Justin accidentally shipped Martin's package to Liam.,Justin shipped Martin his package.,non-entailment,dative,,ship,SEND,,non-entailment,non-entailment,,,
The gang from Kingston smuggled drugs to Mike.,The gang from Kingston smuggled Mike drugs.,entailment,dative,,smuggle,SEND,,non-entailment,non-entailment,,,
The gang from Kingston smuggled drugs to Mike.,Mike smuggled drugs to the gang from Kingston.,non-entailment,dative,,smuggle,SEND,,Non-entailment,non-entailment,,,
Eric managed to sneak Rick's gun to Brandon in prison.,Eric managed to sneak Brandon Rick's gun in prison.,entailment,dative,,sneak,SEND,,entailment,entailment,,,
Eric managed to sneak Rick's gun to Brandon in prison.,Eric managed to sneak Rick Brandon's gun in prison.,non-entailment,dative,,sneak,SEND,,non-entailment,non-entailment,,,
The child rolled a ball to the coach on the football field.,The child rolled the coach a ball on the football field.,entailment,dative,,roll,SLIDE,,Entailment,entailment,,,
The child rolled a ball to the coach on the football field.,The coach rolled a ball to the child on the football field.,non-entailment,dative,,roll,SLIDE,,non-entailment,non-entailment,,,
Carla slid Amanda's book to John before anyone could see it.,Carla slid John Amanda's book before anyone could see it.,entailment,dative,,slide,SLIDE,,Entailment,entailment,,,
Carla slid Amanda's book to John before anyone could see it.,Carla slid Amanda John's book before anyone could see it.,non-entailment,dative,,slide,SLIDE,,non-entailment,non-entailment,,,
Amanda carried the package to Rachel from the post office.,Amanda carried Rachel the package from the post office.,entailment,dative,,carry,CARRY,,non-entailment,non-entailment,,,
Amanda carried the package to Rachel from the post office.,Rachel carried the package to Amanda from the post office.,non-entailment,dative,,carry,CARRY,,non-entailment,non-entailment,,,
Helen dragged Emma's huge suitcase to Diane.,Helen dragged Diane Emma's huge suitcase.,entailment,dative,,drag,CARRY,,entailment,entailment,,,
Helen dragged Emma's huge suitcase to Diane.,Helen dragged Emma Diane's huge suitcase.,non-entailment,dative,,drag,CARRY,,Non-entailment,non-entailment,,,
Tyler kicked the ball to Adam instead of Peter.,Tyler kicked Adam the ball.,entailment,dative,,kick,CARRY,,non-entailment,non-entailment,,,
Tyler kicked the ball to Adam instead of Peter.,Tyler kicked Peter the ball.,non-entailment,dative,,kick,CARRY,,non-entailment,non-entailment,,,
Janet pulled Gloria's chair to Alice so she could sit comfortably.,Janet pulled Alice Gloria's chair so she could sit comfortably.,entailment,dative,,pull,CARRY,,non-entailment,non-entailment,,,
Janet pulled Gloria's chair to Alice so she could sit comfortably.,Janet pulled Gloria Alice's chair so she could sit comfortably.,non-entailment,dative,,pull,CARRY,,Non-entailment.,non-entailment,,,
Gabriel carefully pushed a shopping cart to Jake and walked out of the store with Cam.,Gabriel carefully pushed Jake a shopping cart.,entailment,dative,,push,CARRY,,Non-entailment,non-entailment,,,
Gabriel carefully pushed a shopping cart to Jake and walked out of the store with Cam.,Gabriel carefully pushed Cam a shopping cart.,non-entailment,dative,,push,CARRY,,Non-entailment,non-entailment,,,
Adam schlepped Larry's bag to Roy all the way to the airport and he didn't even thank him.,Adam schlepped Roy Larry's bag all the way to the airport and he didn't even thank him.,entailment,dative,,schlep,CARRY,,Non-entailment.,non-entailment,,,
Adam schlepped Larry's bag to Roy all the way to the airport and he didn't even thank him.,Adam schlepped Larry Roy's bag all the way to the airport and he didn't even thank him.,non-entailment,dative,,schlep,CARRY,,Non-entailment.,non-entailment,,,
Rachel chucked the last snack to Julie instead of her boyfriend.,Rachel chucked Julie the last snack instead of her boyfriend.,entailment,dative,,chuck,THROWING,,Entailment,entailment,,,
Rachel chucked the last snack to Julie instead of her boyfriend.,Rachel chucked the last snack to her boyfriend instead of Julie.,non-entailment,dative,,chuck,THROWING,,Non-entailment,non-entailment,,,
"In a fit of anger, Mary flung Emily's letter to Adam across the room.","In a fit of anger, Mary flung Adam Emily's letter across the room.",entailment,dative,,fling,THROWING,,Non-entailment.,non-entailment,,,
"In a fit of anger, Mary flung Emily's letter to Adam across the room.","In a fit of anger, Mary flung Emily his letter across the room.",non-entailment,dative,,fling,THROWING,,Non-entailment,non-entailment,,,
Jack hurled Mary's bag to Frank through the window.,Jack hurled Frank Mary's bag through the window.,entailment,dative,,hurl,THROWING,,Non-entailment.,non-entailment,,,
Jack hurled Mary's bag to Frank through the window.,Jack hurled Mary Frank's bag through the window.,non-entailment,dative,,hurl,THROWING,,non-entailment,non-entailment,,,
Catherine finally passed Richard's document to Dennis after Patrick signed it.,Catherine finally passed Dennis Richard's document after Patrick signed it.,entailment,dative,,pass,THROWING,,Non-entailment,non-entailment,,,
Catherine finally passed Richard's document to Dennis after Patrick signed it.,Catherine finally passed Richard Dennis' document after Patrick signed it,non-entailment,dative,,pass,THROWING,,non-entailment,non-entailment,,,
Ethan prepared to pitch the ball to Roger but his friend distracted him.,Ethan prepared to pitch Roger the ball but his friend distracted him.,entailment,dative,,pitch,THROWING,,Non-entailment,non-entailment,,,
Ethan prepared to pitch the ball to Roger but his friend distracted him.,Ethan prepared to pitch the ball to his friend but Roger distracted him.,non-entailment,dative,,pitch,THROWING,,Non-entailment,non-entailment,,,
Maria slung Lisa's coat to Janet so she could leave it in the back seat of the car.,Maria slung Janet Lisa's coat so she could leave it in the back seat of the car.,entailment,dative,,sling,THROWING,,non-entailment,non-entailment,,,
Maria slung Lisa's coat to Janet so she could leave it in the back seat of the car.,Maria slung Lisa Janet's coat so she could leave it in the back seat of the car.,non-entailment,dative,,sling,THROWING,,Non-entailment,non-entailment,,,
"He threw Justin's ball to Peter, but the dog caught it.","He threw Peter Justin's ball, but the dog caught it.",entailment,dative,,throw,THROWING,,Non-entailment.,non-entailment,,,
"He threw Justin's ball to Peter, but the dog caught it.","He threw Justin his ball, but the dog caught it.",non-entailment,dative,,throw,THROWING,,"Entailment. Both the premise and the hypothesis state that the dog caught the ball after it was thrown by ""He"", with minor differences in the wording. Therefore, the hypothesis can be inferred from the given premise.",entailment,,,
Adam tossed Kate's car key to Anna.,Adam tossed Anna Kate's car key.,entailment,dative,,toss,THROWING,,Non-entailment,non-entailment,,,
Adam tossed Kate's car key to Anna.,Adam tossed Kate Anna's car key.,non-entailment,dative,,toss,THROWING,,Non-entailment.,non-entailment,,,
The student quoted a passage from the novel to the professor during the literature seminar.,The student quoted the professor a passage from the novel during the literature seminar.,entailment,dative,,quote, TRANSFER OF A MESSAGE,,non-entailment,non-entailment,,,
The student quoted a passage from the novel to the professor during the literature seminar.,The professor quoted a passage from the novel to the student during the literature seminar.,non-entailment,dative,,quote, TRANSFER OF A MESSAGE,,Non-entailment,non-entailment,,,
"During the flight, Kelly read Sarah's book to Megan to distract and calm her down.","During the flight, Kelly read Megan the book to distract and calm her down",entailment,dative,,read, TRANSFER OF A MESSAGE,,Non-entailment,non-entailment,,,
"During the flight, Kelly read Sarah's book to Megan to distract and calm her down.","During the flight, Kelly read Sarah the book to distract and calm her down.",non-entailment,dative,,read, TRANSFER OF A MESSAGE,,Entailment.,entailment,,,
Frank relayed Patrick's message to his boss but it remained unanswered.,Frank relayed his boss Patrick's message but it remained unanswered.,entailment,dative,,relay, TRANSFER OF A MESSAGE,,entailment,entailment,,,
Frank relayed Patrick's message to his boss but it remained unanswered.,Frank relayed Patrick his boss's message but it remained unanswered.,non-entailment,dative,,relay, TRANSFER OF A MESSAGE,,Non-entailment,non-entailment,,,
Adam taught English to Liam after Sarah recommended him as a tutor.,Adam taught Liam English after Sarah recommended him as a tutor.,entailment,dative,,teach, TRANSFER OF A MESSAGE,,Entailment.,entailment,,,
Adam taught English to Liam after Sarah recommended him as a tutor.,Adam taught Sarah English after Liam recommended him as a tutor.,non-entailment,dative,,teach, TRANSFER OF A MESSAGE,,non-entailment,non-entailment,,,
Mr Coleman showed the diagrams to the team to clearly explain the drop in the company's revenues after the launch of the new marketing campaign.,Mr Coleman showed the team the diagrams to clearly explain the drop in the company's revenues after the launch of the new marketing campaign.,entailment,dative,,show, TRANSFER OF A MESSAGE,,entailment,entailment,,,
Mr Coleman showed the diagrams to the team to clearly explain the drop in the company's revenues after the launch of the new marketing campaign.,The team showed Mr Coleman the diagrams to clearly explain the drop in the company's revenues after the launch of the new marketing campaign.,non-entailment,dative,,show, TRANSFER OF A MESSAGE,,Entailment.,entailment,,,
He told Julia's secret to Rachel after hearing about it from Rick.,He told Rachel Julia's secret after hearing about it from Rick.,entailment,dative,,tell, TRANSFER OF A MESSAGE,,Entailment,entailment,,,
He told Julia's secret to Rachel after hearing about it from Rick.,He told Julia a secret after hearing about it from Rick.,non-entailment,dative,,tell, TRANSFER OF A MESSAGE,,Non-entailment,non-entailment,,,
We wrote an offer letter to Julia and Sam as advised by Mark.,We wrote Sam and Julia an offer letter as advised by Mark.,entailment,dative,,write, TRANSFER OF A MESSAGE,,Entailment,entailment,,,
We wrote an offer letter to Julia and Sam as advised by Mark.,We wrote Sam an offer letter as advised by Julia and Mark.,non-entailment,dative,,write, TRANSFER OF A MESSAGE,,Non-entailment,non-entailment,,,
Jerry emailed Tyler's documents to his boss before leaving on holiday.,Jerry emailed his boss Tyler's documents before leaving on holiday.,entailment,dative,,email,INSTRUMENT OF COMMUNICATION,,Entailment,entailment,,,
Jerry emailed Tyler's documents to his boss before leaving on holiday.,Jerry emailed Tyler documents before leaving on holiday.,non-entailment,dative,,email,INSTRUMENT OF COMMUNICATION,,Non-entailment.,non-entailment,,,
Maria baked her mom's frozen lasagna for Jane after they went shopping.,Maria baked Jane her mom's frozen lasagna.,entailment,benefactive,,bake,BUILD,,Non-entailment,non-entailment,,,
Maria baked her mom's frozen lasagna for Jane after they went shopping.,Maria baked her mom a frozen lasagna.,non-entailment,benefactive,,bake,BUILD,,non-entailment,non-entailment,,,
Jane blew bubbles that she borrowed from Mary for Stephanie in the backyard.,Jane blew Stephanie bubbles in the backyard.,entailment,benefactive,,blow,BUILD,,entailment,entailment,,,
Jane blew bubbles that she borrowed from Mary for Stephanie in the backyard.,Jane blew Mary bubbles in the backyard.,non-entailment,benefactive,,blow,BUILD,,non-entailment,non-entailment,,,
Luke built Nick's old wardrobe for Emma after she moved to a new house.,Luke built Emma a wardrobe.,entailment,benefactive,,build,BUILD,,Entailment.,entailment,,,
Luke built Nick's old wardrobe for Emma after she moved to a new house.,Luke built Nick a wardrobe.,non-entailment,benefactive,,build,BUILD,,entailment,entailment,,,
Martha carved a toy that looked like her sister's for Claire during the workshop.,Martha carved Claire a toy during the workshop.,entailment,benefactive,,carve,BUILD,,Non-entailment.,non-entailment,,,
Martha carved a toy that looked like her sister's for Claire during the workshop.,Martha carved her sister a toy during the workshop.,non-entailment,benefactive,,carve,BUILD,,entailment,entailment,,,
Charlie chiselled a heart on Emma's quartz for Cameron as a memory of their first kiss.,Charlie chiselled Cameron a heart on the quartz.,entailment,benefactive,,chisel,BUILD,,Non-entailment,non-entailment,,,
Charlie chiselled a heart on Emma's quartz for Cameron as a memory of their first kiss.,Charlie chiselled Emma a heart on the quartz.,non-entailment,benefactive,,chisel,BUILD,,Non-entailment,non-entailment,,,
The police officer compiled the report for the detective on Alison's murder case.,The police officer compiled the detective the report.,entailment,benefactive,,compile,BUILD,,Non-entailment.,non-entailment,,,
The police officer compiled the report for the detective on Alison's murder case.,The police officer compiled Alison the report.,non-entailment,benefactive,,compile,BUILD,,Non-entailment,non-entailment,,,
Eve cooked the butcher's beef steak for Adam instead of a deep-frozen pizza.,Eve cooked Adam the butcher's beef steak.,entailment,benefactive,,cook,BUILD,,entailment,entailment,,,
Eve cooked the butcher's beef steak for Adam instead of a deep-frozen pizza.,Eve cooked the butcher a beef steak.,non-entailment,benefactive,,cook,BUILD,,Non-entailment.,non-entailment,,,
Diana crocheted a large cover for Lucy's sofa as a Christmas present.,Diana crocheted Lucy's sofa a cover.,entailment,benefactive,,crochet,BUILD,,Entailment,entailment,,,
Diana crocheted a large cover for Lucy's sofa as a Christmas present.,Diana crocheted her sofa a cover.,non-entailment,benefactive,,crochet,BUILD,,non-entailment,non-entailment,,,
Justin cut mom's cake for Larry as a dessert.,Justin cut Larry a cake.,entailment,benefactive,,cut,BUILD,,"In this case, the hypothesis ""Justin cut Larry a cake."" can be inferred from the premise ""Justin cut mom's cake for Larry as a dessert."" Since the premise mentions that Justin cut a cake specifically for Larry, it implies that Justin cut a cake for Larry, which aligns with the hypothesis. Therefore, the answer is entailment.",entailment,,,
Justin cut mom's cake for Larry as a dessert.,Justin cut mom a cake.,non-entailment,benefactive,,cut,BUILD,,non-entailment,non-entailment,,,
Emma embroidered flowers on the dress Jane made for her daughter.,Emma embroidered her daughter flowers on the dress.,entailment,benefactive,,embroider,BUILD,,non-entailment,non-entailment,,,
Emma embroidered flowers on the dress Jane made for her daughter.,Emma embroidered Jane flowers on the dress.,non-entailment,benefactive,,embroider,BUILD,,"The correct answer is 'non-entailment'. The hypothesis ""Emma embroidered Jane flowers on the dress"" cannot be inferred from the premise ""Emma embroidered flowers on the dress Jane made for her daughter."", as there is no mention of Jane embroidering flowers or Jane being involved in the embroidery process in the premise.",non-entailment,,,
Sarah folded Mary's scarf for Samantha and put it in her bag.,Sarah folded Samantha the scarf and put it in her bag.,entailment,benefactive,,fold,BUILD,,Non-entailment,non-entailment,,,
Sarah folded Mary's scarf for Samantha and put it in her bag.,Sarah folded Mary the scarf and put it in her bag.,non-entailment,benefactive,,fold,BUILD,,non-entailment,non-entailment,,,
John forged a sword from steel for James before the tournament.,John forged James a sword from steel.,entailment,benefactive,,forge,BUILD,,entailment,entailment,,,
John forged a sword from steel for James before the tournament.,John forged Nick a sword from steel.,non-entailment,benefactive,,forge,BUILD,,non-entailment,non-entailment,,,
Nicole ground her mom's coffee for Brandon for breakfast.,Nicole ground Brandon some coffee for breakfast.,entailment,benefactive,,grind,BUILD,,entailment,entailment,,,
Nicole ground her mom's coffee for Brandon for breakfast.,Nicole ground her mom some coffee for breakfast.,non-entailment,benefactive,,grind,BUILD,,Non-entailment,non-entailment,,,
Frank grew his grandmother's roses for Anna in the garden.,Frank grew Anna roses.,entailment,benefactive,,grow,BUILD,,Non-entailment,non-entailment,,,
Frank grew his grandmother's roses for Anna in the garden.,Frank grew his grandmother roses.,non-entailment,benefactive,,grow,BUILD,,Non-entailment.,non-entailment,,,
Amanda knitted warm socks for Carol from Lucy's wool pullover.,Amanda knitted Carol warm socks.,entailment,benefactive,,knit,BUILD,,Entailment.,entailment,,,
Amanda knitted warm socks for Carol from Lucy's wool pullover.,Amanda knitted Lucy a wool pullover.,non-entailment,benefactive,,knit,BUILD,,Non-entailment.,non-entailment,,,
Brian made Lucy's dress into a skirt for Jane.,Brian made Jane a skirt.,entailment,benefactive,,make,BUILD,,entailment,entailment,,,
Brian made Lucy's dress into a skirt for Jane.,Brian made Lucy a skirt.,non-entailment,benefactive,,make,BUILD,,non-entailment,non-entailment,,,
Michael rolled John's tobacco into a cigarette for David before their smoking break.,Michael rolled David a cigarette.,entailment,benefactive,,roll,BUILD,,entailment,entailment,,,
Michael rolled John's tobacco into a cigarette for David before their smoking break.,Michael rolled John a cigarette.,non-entailment,benefactive,,roll,BUILD,,entailment,entailment,,,
Richard sculpted Joan's bust for Mark out of Mary's clay.,Richard sculpted Mark a bust.,entailment,benefactive,,sculpt,BUILD,,non-entailment,non-entailment,,,
Richard sculpted Joan's bust for Mark out of Mary's clay.,Richard sculpted Joan a bust.,non-entailment,benefactive,,sculpt,BUILD,,Entailment,entailment,,,
Linda sewed Lisa's dress into a blouse for Susan for the wedding of Robert and Barbara.,Linda sewed Susan a blouse.,entailment,benefactive,,sew,BUILD,,Non-entailment,non-entailment,,,
Linda sewed Lisa's dress into a blouse for Susan for the wedding of Robert and Barbara.,Linda sewed Lisa a dress.,non-entailment,benefactive,,sew,BUILD,,Non-entailment,non-entailment,,,
James stitched a patch onto Steve's shirt for Richard after he borrowed and accidentally tore it.,James stitched Richard a patch onto Steve's shirt.,entailment,benefactive,,stitch,BUILD,,non-entailment,non-entailment,,,
James stitched a patch onto Steve's shirt for Richard after he borrowed and accidentally tore it.,James stitched Richard a patch onto his shirt.,non-entailment,benefactive,,stitch,BUILD,,entailment,entailment,,,
Susan wove a basket for Maria after Linda taught her.,Susan wove Maria a basket.,entailment,benefactive,,weave,BUILD,,entailment,entailment,,,
Susan wove a basket for Maria after Linda taught her.,Susan wove Linda a basket.,non-entailment,benefactive,,weave,BUILD,,Non-entailment.,non-entailment,,,
Brandon whittled a whistle out of Mark's reed for John.,Brandon whittled John a whistle.,entailment,benefactive,,whittle,BUILD,,Non-entailment,non-entailment,,,
Brandon whittled a whistle out of Mark's reed for John.,Brandon whittled Mark a whistle.,non-entailment,benefactive,,whittle,BUILD,,Non-entailment.,non-entailment,,,
Thomas designed a sophisticated kitchen as a housewarming gift from his family for Charles.,Thomas designed Charles a sophisticated kitchen.,entailment,benefactive,,design,CREATE,,"The answer is 'entailment'. The hypothesis ""Thomas designed Charles a sophisticated kitchen."" can be inferred from the given premise ""Thomas designed a sophisticated kitchen as a housewarming gift from his family for Charles.""",entailment,,,
Thomas designed a sophisticated kitchen as a housewarming gift from his family for Charles.,Thomas designed his family a sophisticated kitchen.,non-entailment,benefactive,,design,CREATE,,Non-entailment,non-entailment,,,
